,,,138, 0.002 51(2),
,,,140, 0.884 50(51),
,,,142, 0.111 14(51),
59,Pr,praseodymium,141, 1,
60,Nd,neodymium,142, 0.271 52(40),g
,,,143, 0.121 74(26),
,,,144, 0.237 98(19),
,,,145, 0.082 93(12),
,,,146, 0.171 89(32),
,,,148, 0.057 56(21),
,,,150, 0.056 38(28),
61,Pm,promethium,[145], -,
62,Sm,samarium,144, 0.0308(4),g
,,,147, 0.1500(14),
,,,148, 0.1125(9),
,,,149, 0.1382(10),
,,,150, 0.0737(9),
,,,152, 0.2674(9),
,,,154, 0.2274(14),
63,Eu,europium,151, 0.4781(6),g
,,,153, 0.5219(6),
64,Gd,gadolinium,152, 0.0020(3),g
,,,154, 0.0218(2),
,,,155, 0.1480(9),
,,,156, 0.2047(3),
,,,157, 0.1565(4),
,,,158, 0.2484(8),
,,,160, 0.2186(3),
65,Tb,terbium,159, 1,
66,Dy,dysprosium,156, 0.000 56(3),g
,,,158, 0.000 95(3),
,,,160, 0.023 29(18),
,,,161, 0.188 89(42),
,,,162, 0.254 75(36),
,,,163, 0.248 96(42),
,,,164, 0.282 60(54),
67,Ho,holmium,165, 1,
68,Er,erbium,162, 0.001 39(5),g
,,,164, 0.016 01(3),
,,,166, 0.335 03(36),
,,,167, 0.228 69(9),
,,,168, 0.269 78(18),
,,,170, 0.149 10(36),
69,Tm,thulium,169, 1,
70,Yb,ytterbium,168, 0.001 26(1),g
,,,170, 0.030 23(2),
,,,171, 0.142 16(7),
,,,172, 0.217 54(10),
,,,173, 0.160 98(9),
,,,174, 0.318 96(26),
,,,176, 0.128 87(30),
71,Lu,lutetium,175, 0.974 01(13),g
,,,176, 0.025 99(13),
72,Hf,hafnium,174, 0.001 61(2),g
,,,176, 0.0524(14),
,,,177, 0.1858(9),
,,,178, 0.2728(6),
,,,179, 0.1363(3),
,,,180, 0.3512(16),
73,Ta,tantalum,180, 0.000 1176(23),
,,,181, 0.999 8824(23),
74,W,tungsten,180, 0.0012(1),
,,,182, 0.2650(16),
,,,183, 0.1431(4),
,,,184, 0.3064(2),
,,,186, 0.2843(19),
75,Re,rhenium,185, 0.3740(5),
,,,187, 0.6260(5),
76,Os,osmium,184, 0.0002(2),g
,,,186, 0.0159(64),
,,,187, 0.0196(17),
,,,188, 0.1324(27),
,,,189, 0.1615(23),
,,,190, 0.2626(20),
,,,192, 0.4078(32),
77,Ir,iridium,191, 0.3723(9),
,,,193, 0.6277(9),
78,Pt,platinum,190, 0.000 12(2),
,,,192, 0.007 82(24),
,,,194, 0.328 64(410),
,,,195, 0.337 75(240),
,,,196, 0.252 11(340),
,,,198, 0.073 56(130),
79,Au,gold,197, 1,
80,Hg,mercury,196, 0.0015(1),
,,,198, 0.1004(3),
,,,199, 0.1694(12),
,,,200, 0.2314(9),
,,,201, 0.1317(9),
,,,202, 0.2974(13),
,,,204, 0.0682(4),
81,Tl,thallium,203,"[0.2944, 0.2959]",
,,,205,"[0.7041, 0.7056]",
82,Pb,lead,204,"[0.0000, 0.0158]",
,,,206,"[0.0190, 0.8673]",
,,,207,"[0.0035, 0.2351]",
,,,208,"[0.0338, 0.9775]",
83,Bi,bismuth,209, 1,
84,Po,polonium,[209], -,
85,At,astatine,[210], -,
86,Rn,radon,[222], -,
87,Fr,francium,[223], -,
88,Ra,radium,[226], -,
89,Ac,actinium,[227], -,
90,Th,thorium,230, 0.0002(2),g
,,,232, 0.9998(2),
91,Pa,protactinium,231, 1,
92,U,uranium,234, 0.000 054(5),g m
,,,235, 0.007 204(6),
,,,238, 0.992 742(10),
Z,E,Element,A,Representative isotopic composition,Notes
